Idy	Fecha de Respuesta	Nombre Tienda	Nota de Recomendación	Razón LTR	Nivel 1	Nivel 2	Nivel 3	archivo
11	31/5/2018	Mendoza	3	Por el desorden y precios altos	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
12	31/5/2018	Cordoba	6	"DESDE MI EXPERIENCIA EN VENTA EN EL RUBRO(18AÑO9 SUGIERO TENER MAS ROPA INTERIOR DE VARONES DE 2 AÑOS EN ADELANTE COMO MEDIAS Y PROMOS MAS MAS MARCAS DE REMERAS MANGAS LARGAS. DE NENA HAY EL TRIPLE DE VARIEDAD DE ROPA. MUY BUENA LA CALIDAD Y SOY DE APROVECHAR MUCHO LAS PROMOS. GRACIAS POR HACERME OPINAR.
SALUDA ATENTAMENTE"	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
13	31/5/2018	Unicenter	0	NO es bueno el trato de las vendedoras.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
14	31/5/2018	Florida 3 (Florida N°665)	5	Compre 2 cortadoras de pelo electricas y no se porq motivo no me lo tomaron como electro porq habia una cartel en la puerta de 12 cuotas y en la caja solo me permitieron hacerlo en 1..	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
15	31/5/2018	Mendoza	2	"Porque es una verguenza que no hubiere ningun empleado para que por lo menos oriente a los clientes donde esta la mercaderia que buscaba. Durante 20 minutos espere y no se acerco nadie a preguntarme que necesitaba. Pregunte a un  agente de seguridad y me dijo que a lo mejor la empleada del sector estaba en su descanso. No pueden dejar a alquien que la reemplace?
Y despues se quejan que las ventas bajan"	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
16	1/6/2018	Cordoba	5	La mayoría de los talles sin de confección chica nunca encuentro talle para mi	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
17	1/6/2018	San Juan	6	Mucha espera en la caja de pago y demasiada calefacción	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
18	1/6/2018	Cordoba	3	Siempre en las cajas se observa gran cantidad de cajeros pero solo unos pocos realmente cobran, otros circulan por allí sin saber que hacen, otros están conversando con el que cobra y asi.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
19	1/6/2018	Cordoba	6	la atencion de la vendedora bien pero en la caja me hicieron un cupon mal ..lo anularon ..no me avisaron y el banco me aviso de los dos gaston   igual creo esta solucionado	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
20	1/6/2018	Rosario	2	X la falta de atención que tienen los empleados, creo que 3 semanas antes había ido x el mismo producto y terminé comprando en Garbarino	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
21	1/6/2018	Cordoba	6	Buena atención, buenos precios.	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
22	5/6/2018	Unicenter	5	La caja central, ubicada debajo de las escaleras, si bien hay varias cajeras, no atienden , hacen tiempo para no llamar al cliente para abonar, la verdad esa situación me molesta y mucho.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
23	13/6/2018	Dot	1	En los fines de semana el personal no se preocupa por atender al cliente, con la tienda llena de gente no se encuentran los carritos y hay que cargar todo en los brazos y moverse con dificultad entre la gente. Una penuria!	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
24	14/6/2018	Rosario	4	dificil conseguir asesoramiento.	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
25	14/6/2018	Rosario	5	por que losempleados a cargo no prestan la debida atención al cliente, en el caso del hombre que estaba alli cuando lo consulte se fue y llamo a la compañera la cual no ofreció mayores oportunidades de selección dentro del pedido realizado.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
26	14/6/2018	Mendoza	0	Porque cuando fui a retirar estuve una hora y media de reloj esperando porque se les había perdido el pedido	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
27	14/6/2018	Mendoza	5	Estaba todo desordenado	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
28	14/6/2018	Florida 1 (Florida N°343)	0	por q me cobraron dos veces el mismo producto, me informaron que en el mismo dia me lo iban a devolver, y tuve que volver a reclamar. y la atención es muy mala y lenta.	Cajas	Inconveniente en transacción	Error de personal	detractores resto para compesandar
29	14/6/2018	Cordoba	4	"Mucha demora en la caja (hay una sola habilitada en todo el piso).
El cajero me cobró y se olvidó de darme la compra.
La prenda que compré indicaba que salía $299 y me la cobraron $350.
Muy poca variedad de ropa para nenas después de los 10 años.
Consulté por el precio de un perfume en planta baja y tuve que preguntar tres veces,  porque los asesores estaban charlando."	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
30	14/6/2018	Rosario	1	Porque tuve un accidente en la tienda con una plataforma donde se ubican los maniquíes y sólo ofrecieron llamar al guardia para que me ayude a bajar... para que me vaya	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
31	14/6/2018	Cordoba	6	La seccion Zapatos muy buena atencion y predisposicion por satisfacer al cliente, la seccion Ropa Masculina malisima atencion, se juntaban en grupos a charlar los empleados y uno si le preguntaba por algun talle directamente le contestaban que no habia sin mirar bien la prenda y me paso en dos o tres oportunidades.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
32	14/6/2018	Unicenter	0	Xq cuando cuando ingresé mi número de doc la nueva máquina me decía que no tenía compras, dsp me llamo otra persona y me dijo que faltaba 2 días para retirar, dsp me volvieron a llamar y les mostré el email de retiro de compra y después mágicamente lo encontraron, me hacen perder el tiempo. No solo me pasó a mí sino que a la persona que estaba adenlante mío le pasó lo mismo.	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
33	14/6/2018	Unicenter	5	"porque solo tienen tarjeta cmr.no es facil en este momento no poder comprar a cuotas sin interes
y los precios son altos."	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
34	14/6/2018	Cordoba	4	No había nadie para asesorarnos en el sector, pero cuando ya habíamos elegido las prendas se acercó un vendedor que habia estado charlando con sus compañeros sin intención de atendernos a querer ponernos su nombre en las prendas. Una vergüenza	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
35	14/6/2018	Cordoba	6	Porque hay mucha muestra de productos pero después NO lo tienen en stock	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
36	14/6/2018	San Juan	0	Porque todavía no recibo el producto que era para el 1/06  y regalo para el día del padre. TODAVIA NO ME DAN UNA RESPUESTA Y NADIE SE COMUNICA CONMIGO. He llamado 20 veces y nadie me da una solución, la verdad una falta de respeto, IMPRESENTABLE!!!	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
37	14/6/2018	Cordoba	6	Falta de talles en los productos, falta de personal que asesore	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
38	14/6/2018	Mendoza	5	Los cambios hechos en la tienda son negativos, si bien son causados por las remodelaciones en el subsuelo, No se genera un clima agradable para comprar, en la sección damas no había mucha variedad en los productos, lo q fui a  buscar no lo encontré, la verdad me decepciono	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
39	14/6/2018	Mendoza	5	Las cosas que estan en internet no siempre estan en stock	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
40	15/6/2018	Rosario	5	Por el buen precio	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
41	15/6/2018	Florida 1 (Florida N°343)	3	"Porque estuve un buen rato buscando alguien que me atendiera y no divisé a nadie, motivo por el cual me dirigí hacia las cajas a preguntar a algún encargado sobre el stock de unos platos que deseaba llevar y el mismo me informó que 'aparentemente' no habría mas y que debía dirigirme a otra persona encargada. Me condujo hacia ella en otro sector y la misma, me dijo que no había mas stock de esa mercadería. No obstante dicha información, antes de decidir irme sin comprar busqué por todas las mesas de exhibición de productos y en una de ellas, tapados por otros productos encontré una pila de platos como los que deseaba llevar.
Creo que los empleados contestan a la ligera y ni idea tienen de la cantidad de productos en stock. Si no fuera por mi insistencia me hubiera ido sin comprar nada."	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
42	15/6/2018	San Juan	2	Estaba súper desordenado, y poca gente para atender	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
43	15/6/2018	Florida 2 (Florida N°202)	5	Mucho tiempo de espera. Cuando al fin logré cambiar mi producto, volví a casa, lo probé y tampoco funciona. Debo volver a cambiarlo por otro en la semana.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
44	15/6/2018	Rosario	0	"No había un solo vendedor a quien consultarle absolutamente nada; cuando fui a pagar, siendo que deben aceptar todas las tarjetas de débito, me encuentro con que hice cola en una caja que no cobraba con la tarjeta que tengo, con lo cual tuve que trasladarme a la ÚNICA que cobraba y hacer cola nuevamente.
Toda la ropa mal doblada, parecía usada del estado en que estaba.
Al pedir que me lo envuelvan para regalo me entregaron la prenda hecha un bollo adentro de una bolsa de papel, ni siquiera un moño, un envoltorio decente.
Una vergüenza, son impresentables."	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
45	15/6/2018	Cordoba	5	Mucha demora en la entrega poco espacio físico	Despacho	Retiro en tienda	C&C	detractores resto para compesandar
46	15/6/2018	Mendoza	2	Porque la cajera fue una idiota. Nos atendio re mal, sin ganas. Ademas nos hizo pagar en efectivo demas y todavia teniamos plata en la tarjeta novios...y cuando se lo deciamos nos miraba mal y con la cara que ponia miedo daba. Nos parecio pesima la cajera.	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
47	15/6/2018	Rosario	6	A veces esta todo muy desordenado	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
48	15/6/2018	Unicenter	2	"Xq al momento salí confirme pero confíe q m facturaron bien y cuando llegó y reviso mi factura me han facturado suéter d 890$ a 990$ y lleve 2 y decían 25% desc +5 % con cmr y n se efectúa lo d cmr llamo y m dicen tengo q ir personalmente con las prendas mi tiempo vale ! Y iba d pasaba xq m queda lejos un horror xq n y
TOMAN las cosas serias"	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
49	15/6/2018	Unicenter	6	Muchos productos no tenían precio en la tienda. Al momento de pagar de no haberlo notado me hubieran cobrado $100 demás por un error de la cajera.	Precio y ofertas	Precios	Poca visibilidad de los precios	detractores resto para compesandar
50	15/6/2018	Unicenter	6	Por la poca capacitacion de empleados en el sector devolucion y cajas	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
51	15/6/2018	Unicenter	5	"Cuando fui a retirar la tarjeta CMR, me dijeron que tenia un 20% de descuento en indumentaria como bienvenida, Justo ese dia habia 25 % de descuento con CMR en indumentaria.
Antes de comprar le pregunte a la señorita que me atendio si estaban vigentes ambos descuentos me dijo que SI, al llegar a la caja solo me hicieron el 25 % porque dijeron que no eran acumulativos.
Deberian transmitir correctamente la informacion ya que de esta manera uno esta informado de como seran los descuentos realmente. No quise hacer el reclamo ya que era tarde y estaba con mi hijos cansados. Pero la verdad es que me parecio POCO SERIO."	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
52	16/6/2018	Mendoza	4	por que si bien los productos eran hermosos en calidad y la relacion del precio era aceptable al momento de buscar talles me fue muy dificil encontrar talles para hombres que pasen xl o mas, y la atencion que brinda el personal de seccion es muy mala, por que no te dan respuesta a nada.	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
53	16/6/2018	Mendoza	4	encontre todo muy desordenado la mercaderia amontonada no tenia comodidad para ver y elegir lo que queria , no habian empleados que ayudaran con la compra, y sobre todo lo peor ers el tema de talle no habia variedad de talles eran todos pequeÑos	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
54	16/6/2018	Rosario	4	"En esta oportunidad evalúo con un 4. No soy de hacer lío ni conflictivo. Esa no es mi intención.
Soy un cliente que comprar muy seguido tanto en la tienda como virtual, y me perece que en esta oportunidad me fallaron. Pero no hice lío me la aguante y tuve que demorarme mas de 1 hora en la tienda. Compre una campera, la vendedora me dijo que esa marca tiene el beneficio de tener una garantía, la pregunte si había que abonar algo aparta y me dijo que, solo hay que registrar la campera para obtener el beneficio, me hizo firmar unos papeles, y me dijo ya esta registrada, y puso un papel dentro de la bolsa. al rato miro el papel y decía que tenia que pagar un monto por mes, volví a la tienda, en la caja me derivan a atención al cliente, luego a seguros falabella, luego a la caja donde me atendieron, de la caja a seguros. La chica de seguros muy amablemente, que se lo agradezco y esta muy capacitada y merece un asenso, no era su obligación, tuvo que bajar del tercer piso al primero para poder darlo de baja. Me sentí estafado porque me hicieron el cuento del tio.
No pasa nada, se los comento para que asesoren a los cajeros con el tema de los seguros, se que tratan de ganas una comisión extra por seguro vendido, pero que expliquen y traten de convencer al cliente con estrategias de marketing no mintiendo."	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
55	16/6/2018	Florida 2 (Florida N°202)	3	Me atendieron sin mucho conocimiento y no supieron preguntarme si era o no un regalo. La persona a la cual le di el regalo quiso cambiarlo y no quisieron porque no llevaba tiquet de cambio.. porque nunca me lo dieron . Con el esfuerzo que le llevó llegar hasta esa tienda. Pésimo	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
56	16/6/2018	Mendoza	0	Destrato. No hay respuesta a reclamos. Incumplimiento de plazos de entrega en respuestas de los reclamos. Muy mala experiencia.	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
57	16/6/2018	Rosario	0	"fui a realizar un cambio de 4 productos de niños que compré en hot sale.
Compré 2 Jeans para hombre, la cajera a cargo de devoluciones me dijo que no podía aplicarme la promoción de los 2 jeans porque estaba devolviendo productos y no se aplicaba el dto en este caso (razón que no entendi pero igualmente accedi a pagar demás porque estaba devolviendo otros productos).
Devolvi 2 canguros de niña + 1 sweater de niña + 1 pantuflas por un valor de $1200 aprox.
Una vez hecho este cambió en sección hombre fui a recorrer la sección niños y me encuentro que una de las prendas que había devuelvo costaba el doble de lo que me habían tomado como devolución. Fui a presentar el reclamo. La cajera muy mal educada me decia que si me hubiera hecho un gift card esto no hubiera sucedido, pero al hacer una devolucion tomaba el otro precio, yo me quejé porque no entendia como puede ser que devuelvo eso a un precio determinado y luego quiero comprar lo mismo pero ahora cuesta el doble???? no entiendo porque hubiera sido distinto una gift card que un cambio directo. Tuvo que llamar a la supervisora.
Perdí 30 min esperando que me solucionen esto, con mi hija pequeña tirada en el piso llorando.
No entiendo como puede ser que devuelvo ""x"" cantidad de prendas, las toman a un precio determinado. Luego encuentro LAS MISMAS PRENDAS QUE DEVOLVI en el talle que necesito y encima tengo que pagar diferencia si quiero volver a comprarlas.
No vuelvo más a la tienda, es muy lento el servicio, muy lento hacer una devolución y si encima te toman la devolución a un valor diferente al que cuesta la prenda es una tomada de pelo."	Devoluciones	Disconformidad con Politicas Falabella	Devoluciones	detractores resto para compesandar
58	16/6/2018	Dot	0	No hay promoción para el pago de tarjeta siendo el día del padre	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
59	16/6/2018	Florida 2 (Florida N°202)	5	Porque no tienen cuotas sin interés, sólo con la tarjeta de ustedes.	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
60	16/6/2018	Cordoba	5	Por la falta de compromiso en la entrega del producto. Muy mala experiencia	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
61	16/6/2018	Rosario	2	Porque no tienen promociones con todos los bancos, solo con dos o tres y al resto les cobran intereses de financiación	Cajas	Tarjetas de crédito / Bancos	Inconformidad con el tipo de financiación	detractores resto para compesandar
62	16/6/2018	Unicenter	4	Los productos están mezclados, las cajeras no tienen buena predisposición	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
63	16/6/2018	Rosario	5	Precios muy caros ,pocos talle grandes y poco personal para asesorar	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
64	16/6/2018	Cordoba	6	Falta variedad	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
65	16/6/2018	Dot	5	Mucha gente en caja	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
66	16/6/2018	Florida 2 (Florida N°202)	1	"Los precios descriptos para los productos no coinciden en el momento de pasar por caja, decía $654, y era $1.560, el producto de al lado su valor era $1.260 y el precio era $1.600, e insisten en que el precio es el que dice la caja.. Según defensa del consumidor ""el precio es el que figura en el indicador de precio"".."	Precio y ofertas	Precios	Producto mal etiquetado 	detractores resto para compesandar
67	17/6/2018	Dot	2	Fui con lq búsqueda de un producto y me guiaron a comprar otro de pésima calidad	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
68	17/6/2018	Florida 2 (Florida N°202)	5	La cajera no entendía como cobrar. Tuve q volver a la parte de electro a consultar yo	Cajas	Cajeros	Falta amabilidad y actitud de servicio del cajero	detractores resto para compesandar
69	17/6/2018	Unicenter	2	No cumplieron con lo pedido	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
70	17/6/2018	Rosario	5	"Realizamos una compra y si no tenes la tarjeta CMR te cobran 11%en 3 cuotas es una estafa ya que no deberían cobrar ese re cargo hay tienda mas chicas que no lo cobran,termine comprando porque a mi hermano le gustaba la campera...
Pero no volvería a comprar en esta tienda"	Precio y ofertas	Precios	Promoción engañosa / Inconveniente con promoción	detractores resto para compesandar
71	17/6/2018	Unicenter	4	No había muchos vendedores.	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
72	17/6/2018	Unicenter	4	Cuando entras al sector perfumería estan hablando entre ellos y perfumandose y poca atención te dan salvo q empieces tocando la mercaderia presentada	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
73	17/6/2018	Cordoba	4	Mucha gente y pocas cajas disponibles en días claves.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
74	17/6/2018	Avellaneda	6	Porque no habia mucha variedad en justamente lo que yo buscaba, era variedad en Ropa interior masculina, medias masculinas y ropa de dormir masculina.	Productos	Disponibilidad	Falta variedad/ Baja calidad	detractores resto para compesandar
75	17/6/2018	Dot	1	"Día previo al día del padre donde se supone que son días dónde la gente concurre más a este predio y tendrían que tener consideración de la fecha,estando en la cola de perfumería con solo dos cajas,una de las cajeras 15' antes del cierre del local cierra su caja, a las 22 hras cuando anuncian el cierre del local no solo apagan las luces del sector perfumería si no que se corta el sistema y nos trasladan a todas las personas que estábamos esperando ya  más de 30' a otras cajas.
Me acerco al encargado explicándole que hacía más de 30' estaba en la cola y se pasaba el tiempo de mí tickets del estacionamiento,si me podría brindar una solución,no solamente no me dió una solución si no que me dijo que si tenía algún problema me dirija al sector de atención al cliente para hacer la queja.
Por este motivo no solo no lo recomiendo si no que al dot no vuelvo más."	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
76	17/6/2018	Unicenter	4	Xq no hay cambiadores se prueban la ropa entre los percheros y te miras en los espejos de las columnas	Probadores	Tiempo de espera	Fila extensa para acceder al probador	detractores resto para compesandar
77	17/6/2018	Rosario	2	"En realidad tuve que llamar a atencion al cliente donde me asesoraron muy mal en 3l 0810.

Primero me dijeron que el titular de la tarjeta tiene qie ser el titular de la cuenta. Cosa que cuando compre en el sistema  no existe una validacion si es que es realmente asi. Por otra parte no puede ser que tenga solo 7 dias p el retiro y sino te devuelven el dinero. Por otra parte yo estaba en reposo y mi marido que incluso compre con su tarjeta no podia retirarlo, lo cual me parece absurdo siendo que es mi marido y la compra se realizo con su tajeta.

En la tienda de rosario me atendieron super bien pero en el 0810 no y eso que hablo c el supervisor de turno."	Servicios	Post Venta	Reclamo / Mala atención colaborador SAC	detractores resto para compesandar
78	17/6/2018	San Juan	6	Mucho tiempo para q me cobren	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
79	17/6/2018	Tortugas	5	No tuve atencion de atencion de un asesor de venta, tuve que tomar mi producto (impresora) sin asesoramiento e ir a la caja, donde ni siquiera la abrieron para mostrarmela	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
80	17/6/2018	Unicenter	0	Los precios son EXORBITANTES, venden lo mismo que se consigue afuera x un 30 o 40 % mas, Ya no hay prácticamente promociones bancarias, compre porque me regalaron una gift Card, error total...	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
81	17/6/2018	San Juan	5	No se podia dialogar debido a que los empleados estaban viendo el partido de argentina con un volumen de audio muy elevado, realmente molesto.	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
82	17/6/2018	Cordoba	6	Tienen poco personal de atención en la tienda, las cajas son pocas y siempre llenas.	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
83	17/6/2018	Tortugas	4	Porque algunas cosas son demasiado elevadas en precio.	Precio y ofertas	Precios	Insatisfacción con los precios	detractores resto para compesandar
84	17/6/2018	Avellaneda	5	No hay atencion cordial. Parece que molestan las preguntas	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
85	17/6/2018	Rosario	0	"Mala atención
Cero gestión"	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
86	17/6/2018	Avellaneda	6	atención, espera y falta de propuesta por parte de los vendedores	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
87	17/6/2018	Rosario	4	Poca variedad de cosas.  No había personas en la atención	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
88	17/6/2018	Avellaneda	6	Ni mal ni bien	Cliente	Cliente detractor, no brinda detalles	No brinda detalles	detractores resto para compesandar
89	17/6/2018	Tortugas	5	Mucho caos falta presencia de vendedores	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
90	17/6/2018	Cordoba	6	"Mucha gente y los empleados muy pocos predispuestos, charlan entre ellos y muy poco le prestan atención al cliente.
En la zona de cajas si tenes una duda y preguntas pareciera que les molesta."	Colaboradores	Atención 	Falta amabilidad y actitud de servicio del colaborador	detractores resto para compesandar
91	17/6/2018	Tortugas	5	Muy desprolija	Tienda	Infraestructura	Falta de orden y limpieza en tienda	detractores resto para compesandar
92	17/6/2018	Tortugas	5	porque se demoro mucho el tramite	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
93	18/6/2018	Avellaneda	5	en algunos articulos no tienen talla xxl, en zapateria las veces que quise comprar un par de zapatos no tenian nº  y en algunos art los precios  son caros.	Productos	Disponibilidad	Falta de talles	detractores resto para compesandar
94	18/6/2018	Tortugas	6	"Fue muchas espera para hacer el pago , la cola era interminable , solo por eso , la atencion despues fue correcta .
Gracias"	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
95	18/6/2018	Unicenter	5	poco personal para consultar y precios altos en las marcas propias	Colaboradores	Atención 	Falta de personal en piso	detractores resto para compesandar
96	18/6/2018	Unicenter	6	xq fui a probar un sillon q se ofrecia en venta on line pero no contaban con el producto en el salon, por lo tanto no lo compre	Productos	Disponibilidad	Falta de stock	detractores resto para compesandar
97	18/6/2018	Mendoza	2	estaba todo desordenado. muchas fila para la cjaa y solo 3 cajas de 12 recibían tarjeta de débito maestro por lo que tuve que esperar el triple a que una se liberara	Cajas	Demora	Tiempo de espera en fila	detractores resto para compesandar
